Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
127,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1551,1551,1551,30-Sep-15
128,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1651,1651,1651,26-Aug-15
129,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,23-Jul-15
130,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1525,1525,1525,22-Jul-15
131,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,20-Jul-15
132,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1300,1250,15-Jul-15
133,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1300,1250,11-Jul-15
134,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1351,1250,4-Jul-15
135,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1351,1351,29-Jun-15
136,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,18-Jun-15
137,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1341,1341,1341,15-Jun-15
138,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,6-Jun-15
139,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,28-May-15
140,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1450,1450,22-May-15
141,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,13-Apr-15
142,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1525,1525,4-Mar-15
143,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1525,26-Feb-15
144,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,23-Feb-15
145,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,13-Feb-15
146,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1450,1450,12-Feb-15
147,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1450,1450,11-Feb-15
148,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,3-Feb-15
149,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1725,1550,31-Jan-15
150,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1451,1451,1451,30-Jan-15
151,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1550,1500,29-Jan-15
152,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1400,1300,28-Jan-15
153,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,27-Jan-15
154,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,2000,1600,19-Jan-15
